[2015-09-21 20:16:27,992 main org.springframework.context.support.ClassPathXmlApplicationContext] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@13fee20c: startup date [Mon Sep 21 20:16:27 CST 2015]; root of context hierarchy
[2015-09-21 20:16:28,445 main org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [conf/spring.xml]
[2015-09-21 20:16:29,160 main org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [conf/spring-mybatis.xml]
[2015-09-21 20:16:29,519 main org.springframework.context.support.PropertySourcesPlaceholderConfigurer] Loading properties file from class path resource [conf/db.properties]
[2015-09-21 20:16:30,477 main com.alibaba.druid.pool.DruidDataSource] {dataSource-1} inited
[2015-09-21 20:16:32,422 main org.springframework.context.support.ClassPathXmlApplicationContext] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@7a3793c7: startup date [Mon Sep 21 20:16:32 CST 2015]; root of context hierarchy
[2015-09-21 20:16:32,443 main org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [conf/spring.xml]
[2015-09-21 20:16:32,647 main org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [conf/spring-mybatis.xml]
[2015-09-21 20:16:32,815 main org.springframework.context.support.PropertySourcesPlaceholderConfigurer] Loading properties file from class path resource [conf/db.properties]
[2015-09-21 20:16:32,867 main com.alibaba.druid.pool.DruidDataSource] {dataSource-2} inited
[2015-09-21 20:16:33,507 main org.springframework.context.support.ClassPathXmlApplicationContext] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@3081f72c: startup date [Mon Sep 21 20:16:33 CST 2015]; root of context hierarchy
[2015-09-21 20:16:33,509 main org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [conf/spring.xml]
[2015-09-21 20:16:33,660 main org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [conf/spring-mybatis.xml]
[2015-09-21 20:16:33,797 main org.springframework.context.support.PropertySourcesPlaceholderConfigurer] Loading properties file from class path resource [conf/db.properties]
[2015-09-21 20:16:33,888 main com.alibaba.druid.pool.DruidDataSource] {dataSource-3} inited
[2015-09-21 20:16:34,206 main org.springframework.context.support.ClassPathXmlApplicationContext] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@63f259c3: startup date [Mon Sep 21 20:16:34 CST 2015]; root of context hierarchy
[2015-09-21 20:16:34,207 main org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [conf/spring.xml]
[2015-09-21 20:16:34,335 main org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [conf/spring-mybatis.xml]
[2015-09-21 20:16:34,424 main org.springframework.context.support.PropertySourcesPlaceholderConfigurer] Loading properties file from class path resource [conf/db.properties]
[2015-09-21 20:16:34,486 main com.alibaba.druid.pool.DruidDataSource] {dataSource-4} inited
[2015-09-21 20:16:34,795 main org.springframework.context.support.ClassPathXmlApplicationContext] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@dbd8e44: startup date [Mon Sep 21 20:16:34 CST 2015]; root of context hierarchy
[2015-09-21 20:16:34,798 main org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [conf/spring.xml]
[2015-09-21 20:16:34,974 main org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [conf/spring-mybatis.xml]
[2015-09-21 20:16:35,120 main org.springframework.context.support.PropertySourcesPlaceholderConfigurer] Loading properties file from class path resource [conf/db.properties]
[2015-09-21 20:16:35,185 main com.alibaba.druid.pool.DruidDataSource] {dataSource-5} inited
[2015-09-21 20:16:35,533 main org.springframework.context.support.ClassPathXmlApplicationContext] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@495fac5f: startup date [Mon Sep 21 20:16:35 CST 2015]; root of context hierarchy
[2015-09-21 20:16:35,535 main org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [conf/spring.xml]
[2015-09-21 20:16:35,687 main org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [conf/spring-mybatis.xml]
[2015-09-21 20:16:35,797 main org.springframework.context.support.PropertySourcesPlaceholderConfigurer] Loading properties file from class path resource [conf/db.properties]
[2015-09-21 20:16:35,913 main com.alibaba.druid.pool.DruidDataSource] {dataSource-6} inited
[2015-09-21 20:16:36,246 main org.springframework.context.support.ClassPathXmlApplicationContext] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@294e5088: startup date [Mon Sep 21 20:16:36 CST 2015]; root of context hierarchy
[2015-09-21 20:16:36,252 main org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [conf/spring.xml]
[2015-09-21 20:16:36,353 main org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [conf/spring-mybatis.xml]
[2015-09-21 20:16:36,445 main org.springframework.context.support.PropertySourcesPlaceholderConfigurer] Loading properties file from class path resource [conf/db.properties]
[2015-09-21 20:16:36,537 main com.alibaba.druid.pool.DruidDataSource] {dataSource-7} inited
[2015-09-21 20:16:36,906 main org.springframework.context.support.ClassPathXmlApplicationContext] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@4233e892: startup date [Mon Sep 21 20:16:36 CST 2015]; root of context hierarchy
[2015-09-21 20:16:36,907 main org.springframework.beans.factory.xml.XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [conf/spring.xml]
